sponge	cluster	nseqs	size (bp)	N90	N50	N10	length_weighted_gc	min_GC	max_GC	std_GC	length_weighted_coverage	min_coverage	max_coverage	std_coverage	total_orf_count	min_mean_orf_length	max_mean_orf_length	std_mean_orf_length	completeness	purity	num_total_markers	num_unique_markers (expected 139)	num_single_copy_markers
FL2014_3	bin_0001	1274	7359282	1859	22160	87501	56.376804150187475	46.12159329140462	66.81692094313453	3.2246989527528265	0.39161818193527576	0.042155	0.635646	0.14656663210333615	8011	40.5	1065.0	130.81127131297907	96.40287769784173	91.04477611940298	146.0	134	122
FL2014_3	bin_0002	134	6197722	22488	78847	224530	63.969971547610555	59.6987167565557	67.6274118429807	1.4316710906410564	0.9903467588665642	0.118562	3.202675	0.5494078814617295	4939	153.83333333333334	643.5	69.96702517485075	95.68345323741008	94.73684210526315	140.0	133	126
FL2014_3	bin_0003	132	4788313	15391	76043	226039	62.86213954685085	57.52705182560272	68.33255488089678	1.7395226294972963	0.3904729505615026	0.101655	0.903036	0.059524920029010026	4130	127.9	799.5	94.10117748488824	95.68345323741008	97.74436090225564	137.0	133	130
FL2014_3	bin_0004	175	5811956	15699	62024	152538	66.88579541896051	61.269012137041024	70.4558471749604	1.8811961321387902	0.32181991194272636	0.092503	1.6591919999999998	0.15484369379971458	4411	116.46153846153848	1422.0	143.1031184031943	94.96402877697841	97.72727272727273	135.0	132	129
FL2014_3	bin_0005	114	3562237	14026	67046	177934	54.68911810191181	50.51790470553418	59.22178409344542	1.6471415711940516	0.516665337641207	0.100333	1.307986	0.13661647947139996	2767	154.0	1152.0	134.02675081166862	97.84172661870504	98.52941176470588	138.0	136	134
FL2014_3	bin_0006	142	4186101	13959	85672	154931	64.38007587490127	60.642194684747885	70.89804186360567	2.177712147609207	0.4208647898700964	0.096091	2.990566	0.6022868949010892	3895	126.46153846153848	1423.0	168.02430380256388	94.24460431654677	100.0	131.0	131	131
FL2014_3	bin_0007	119	3543157	14203	43070	87445	68.98734659514096	66.66914498141264	71.53430116709366	1.015712071546929	0.22584010362848714	0.064295	0.547437	0.05149335172830909	3140	189.1	767.1666666666665	83.9893532760385	94.96402877697841	99.24242424242425	134.0	132	131
FL2014_3	bin_0008	290	5517855	9413	30165	69791	47.841851589068575	43.278632283149406	52.09703947368421	1.5228715242447683	2.611492075661829	0.975462	3.638004	0.30824024625959956	4869	141.71428571428572	1038.0	105.97371180481613	95.68345323741008	94.73684210526315	141.0	133	126
FL2014_3	bin_0009	304	3879178	5666	18575	50598	62.999403481871674	56.94860566950911	70.70853129518694	2.327361969376937	0.5885356413642271	0.101242	1.869746	0.14665594557128608	3875	161.8	729.0	71.81160095395758	97.84172661870504	99.26470588235294	137.0	136	135
FL2014_3	bin_0010	184	2089898	5068	17290	38102	66.40108751718984	61.77146855943217	73.4032705954952	1.8679028523337693	0.16997730875908773	0.103876	0.436515	0.030463169650370818	2030	148.08333333333334	608.6666666666666	67.91796528990443	82.73381294964028	96.52173913043478	119.0	115	111
FL2014_3	bin_0011	371	4186860	4735	23275	52818	61.08403433599404	52.48308785266635	68.63157894736842	2.6409471070734565	1.129027955715023	0.073638	5.13625	0.5293854400775027	4071	41.5	1370.0	112.12661851210694	84.89208633093526	98.30508474576271	120.0	118	116
FL2014_3	bin_0012	249	1868546	3560	12025	31504	58.97558850571514	53.41139383021842	64.0295358649789	1.7286054637138528	0.1639671037405555	0.077528	0.24914	0.028479410096645407	1985	94.33333333333331	953.0	108.93817339220178	93.5251798561151	94.61538461538461	137.0	130	123
FL2014_3	bin_0013	317	2871379	5562	9557	18937	70.09844398806288	66.30347516917078	74.50159980310116	1.5405913838416798	0.41435296483501477	0.06864400000000001	0.701096	0.0804029362736159	2860	175.0	1058.5	87.55080863311557	31.654676258992804	97.72727272727273	45.0	44	43
FL2014_3	bin_0014	458	2441238	2664	7985	17154	46.49304983782819	41.93907875185735	51.97112715158245	1.4654795346743101	0.1300051630086866	0.042649	1.447316	0.0701685768745633	2339	76.5	1370.0	145.06367260785103	88.48920863309353	100.0	123.0	123	123
FL2014_3	bin_0015	476	3357465	3856	8483	17118	67.1495607549148	62.291280148423006	71.16996951219512	1.4545938598168546	0.1804230720874231	0.080715	0.471304	0.044579435290604666	3483	113.45454545454544	720.0	75.15508093081306	37.410071942446045	100.0	52.0	52	52
