MK105444.1	NODE_982_length_16774_cov_71.425907	71.176	170	49	0	1	510	5376	4867	1.31e-77	290
MK105444.1	NODE_982_length_16774_cov_71.425907	62.295	122	46	0	566	201	4811	5176	1.49e-44	175
MK105444.1	NODE_982_length_16774_cov_71.425907	57.143	21	9	0	143	81	5234	5296	1.49e-44	25.8
MK105444.1	NODE_982_length_16774_cov_71.425907	47.297	74	39	0	285	64	5092	5313	9.90e-23	72.1
MK105444.1	NODE_982_length_16774_cov_71.425907	53.704	54	25	0	552	391	4825	4986	9.90e-23	55.6
MK105444.1	NODE_982_length_16774_cov_71.425907	36.567	134	85	0	120	521	5257	4856	3.69e-18	93.2
MK105444.1	NODE_982_length_16774_cov_71.425907	50.769	65	32	0	77	271	5300	5106	3.23e-09	46.0
MK105444.1	NODE_982_length_16774_cov_71.425907	47.727	44	23	0	392	523	4985	4854	3.23e-09	35.9
MK105444.1	NODE_982_length_16774_cov_71.425907	40.909	66	39	0	286	89	5091	5288	1.79e-05	51.0
MK105444.1	NODE_37_length_110451_cov_3.037054	68.421	133	42	0	112	510	18534	18932	4.23e-65	214
MK105444.1	NODE_37_length_110451_cov_3.037054	61.765	34	13	0	1	102	18402	18503	4.23e-65	55.1
MK105444.1	NODE_37_length_110451_cov_3.037054	53.719	121	56	0	566	204	18988	18626	1.67e-32	140
MK105444.1	NODE_37_length_110451_cov_3.037054	23.529	102	78	0	432	127	18854	18549	0.64	35.9
MK105444.1	NODE_37_length_110451_cov_3.037054	31.667	60	41	0	225	404	18647	18826	2.3	34.1
MK105444.1	NODE_436_length_30958_cov_1.524677	63.115	122	45	0	1	366	12577	12942	3.24e-62	177
MK105444.1	NODE_436_length_30958_cov_1.524677	68.889	45	14	0	376	510	12970	13104	3.24e-62	82.2
MK105444.1	NODE_436_length_30958_cov_1.524677	51.613	62	30	0	566	381	13160	12975	8.09e-24	66.1
MK105444.1	NODE_436_length_30958_cov_1.524677	50.000	60	30	0	383	204	12959	12780	8.09e-24	65.2
MK105444.1	NODE_436_length_30958_cov_1.524677	29.268	82	58	0	357	112	12933	12688	0.014	41.4
MK105444.1	NODE_1096_length_15502_cov_24.910472	71.910	89	25	0	1	267	6539	6805	1.05e-60	162
MK105444.1	NODE_1096_length_15502_cov_24.910472	55.224	67	30	0	310	510	6848	7048	1.05e-60	92.3
MK105444.1	NODE_1096_length_15502_cov_24.910472	46.281	121	65	0	566	204	7104	6742	2.84e-23	101
MK105444.1	NODE_1096_length_15502_cov_24.910472	73.684	19	5	0	149	93	6687	6631	2.84e-23	27.6
MK105444.1	NODE_1096_length_15502_cov_24.910472	35.227	176	114	0	528	1	7066	6539	3.97e-11	69.8
MK105444.1	NODE_1096_length_15502_cov_24.910472	34.831	89	58	0	93	359	6631	6897	2.29e-04	47.3
MK105444.1	NODE_113524_length_1461_cov_0.913363	64.865	148	52	0	67	510	353	796	6.42e-57	221
MK105444.1	NODE_113524_length_1461_cov_0.913363	50.413	121	60	0	566	204	852	490	1.95e-30	133
